x,y,z,qx,qy,qz,qw,speed
89629.7,43187.7,0,0,0,-0.257591,0.966254,4.16667
89632.1,43186.3,0,0,0,-0.307613,0.951512,4.16667
89634.6,43184.5,0,0,0,-0.285239,0.958457,4.16667
89637.2,43182.8,0,0,0,-0.163097,0.98661,4.16667
89640,43181.9,0,0,0,-0.0102367,0.999948,4.16667
89642.9,43181.8,0,0,0,0.0930897,0.995658,4.16667
89645.8,43182.4,0,0,0,0.178075,0.984017,4.16667
89648.6,43183.4,0,0,0,0.241111,0.970498,4.16667
89651.3,43184.8,0,0,0,0.233975,0.972243,4.16667
89654,43186.2,0,0,0,0.197508,0.980301,4.16667
89656.7,43187.3,0,0,0,0.056364,0.99841,4.16667
89659.6,43187.7,0,0,0,-0.145469,0.989363,4.16667
89662.5,43186.8,0,0,0,-0.365708,0.93073,4.16667
89664.6,43184.8,0,0,0,-0.587808,0.809001,4.16667
89665.5,43182,0,0,0,-0.774753,0.632264,4.16667
89664.9,43179,0,0,0,-0.916698,0.39958,4.16667
89662.9,43176.9,0,0,0,-0.984371,0.176105,4.16667
89660.2,43175.9,0,0,0,-0.997178,0.0750719,4.16667
89657.2,43175.4,0,0,0,-0.997254,0.0740582,4.16667
89654.3,43175,0,0,0,-0.999757,0.022064,4.16667
89651.3,43174.9,0,0,0,-0.992243,0.124316,4.16667
89648.4,43174.1,0,0,0,-0.947523,0.319689,4.16667
89584.1,43147.4,-6.1885e-06,0,0,0.174527,0.984652,4.16667
89644.8,43169.6,0,0,0,-0.656464,0.754358,4.16667
89645.2,43166.7,0,0,0,-0.494517,0.869168,4.16667
89646.7,43164.2,0,0,0,-0.333705,0.942677,4.16667
89649,43162.3,0,0,0,-0.212259,0.977213,4.16667
89651.8,43161.1,0,0,0,-0.195738,0.980656,4.16667
89654.5,43159.9,0,0,0,-0.0527849,0.998606,4.16667
89657.5,43159.6,0,0,0,0.141186,0.989983,4.16667
89660.4,43160.5,0,0,0,0.351021,0.936368,4.16667
89662.4,43162.3,0,0,0,0.53549,0.844542,4.16667
89663.7,43165,0,0,0,0.511028,0.859564,4.16667
89665.2,43167.8,0,0,0,0.344415,0.938818,4.16667
89667.4,43169.6,0,0,0,0.0898892,0.995952,4.16667
89670.3,43170.1,0,0,0,-0.118245,0.992984,4.16667
89673.1,43169.5,0,0,0,-0.323006,0.946397,4.16667
89675.5,43167.6,0,0,0,-0.424476,0.905439,4.16667
89677.4,43165.3,0,0,0,-0.509104,0.860705,4.16667
89678.9,43162.7,0,0,0,-0.601335,0.798997,4.16667
89679.7,43159.8,0,0,0,-0.706174,0.708039,4.16667
89679.7,43156.9,0,0,0,-0.808032,0.589138,4.16667
89678.8,43154.1,0,0,0,-0.885312,0.464997,4.16667
89677.1,43151.6,0,0,0,-0.940498,0.339798,4.16667
89674.8,43149.7,0,0,0,-0.97392,0.226892,4.16667
89672.1,43148.4,0,0,0,-0.989185,0.146673,4.16667
89669.3,43147.5,0,0,0,-0.997181,0.07503,4.16667
89666.4,43147.1,0,0,0,-0.996143,0.0877477,4.16667
89663.3,43146.5,0,0,0,-0.977878,0.209175,4.16667
89660.6,43145.3,0,0,0,-0.933167,0.359442,4.16667
89658.5,43143.4,0,0,0,-0.863258,0.504762,4.16667
89657,43140.8,0,0,0,-0.795063,0.606527,4.16667
89656.2,43137.9,0,0,0,-0.751042,0.660255,4.16667
89655.9,43134.9,0,0,0,-0.708095,0.706117,4.16667
89655.8,43132,0,0,0,-0.721034,0.692899,4.16667
89655.7,43129,0,0,0,-0.761931,0.647658,4.16667
89655.3,43126.1,0,0,0,-0.827523,0.561431,4.16667
89654.2,43123.3,0,0,0,-0.91014,0.414302,4.16667
89652.2,43121.1,0,0,0,-0.967672,0.252212,4.16667
89649.6,43119.6,0,0,0,-0.997482,0.0709204,4.16667
89646.6,43119.2,0,0,0,0.994787,0.101975,4.16667
89643.7,43119.8,0,0,0,0.986323,0.164825,4.16667
89640.9,43120.8,0,0,0,0.971693,0.236248,4.16667
89638.3,43122.1,0,0,0,0.949757,0.312989,4.16667
89635.9,43123.9,0,0,0,0.923158,0.38442,4.16667
89633.8,43126,0,0,0,0.905278,0.42482,4.16667
89631.9,43128.3,0,0,0,0.894858,0.446352,4.16667
89630.1,43130.7,0,0,0,0.890874,0.454251,4.16667
